1,2,260
2,2,30
3,3,20
4,4,30
5,5,20
6,6,20
7,7,20
8,8,20
9,9,20
10,10,30
11,11,20
12,12,30
13,13,20
14,14,20
15,15,20
16,16,20
17,17,20
18,18,21
1,2,120
2,2,30
3,3,20
4,4,20
5,5,20
6,6,20
7,7,31
8,8,20
9,9,20
10,10,20
11,11,20
12,12,20
13,13,20
14,14,30
15,15,31
16,16,20
17,17,20
18,18,20
1,2,110
2,2,30
3,3,20
4,4,20
5,5,30
6,6,20
7,7,20
8,8,20
9,9,20
10,10,20
11,11,20
12,12,20
13,13,30
14,14,30
15,15,30
16,16,20
17,17,20
18,18,20
1,2,170
2,2,50
3,3,40
4,4,30
5,5,30
6,6,30
7,7,30
8,8,40
9,9,30
10,10,30
11,11,30
12,12,40
13,13,40
14,14,30
15,15,30
16,16,30
17,17,40
18,18,30
1,2,120
2,2,30
3,3,20
4,4,30
5,5,20
6,6,20
7,7,20
8,8,20
9,9,20
10,10,21
11,11,20
12,12,20
13,13,20
14,14,20
15,15,20
16,16,20
17,17,20
18,18,20
2,1,130
2,2,20
3,3,20
4,4,20
5,5,30
6,6,30
7,7,20
8,8,20
9,9,20
10,10,20
11,11,20
12,12,20
13,13,20
14,14,20
15,15,20
16,16,20
17,17,20
18,18,20
2,1,150
2,3,20
4,4,20
5,6,30
7,7,20
8,9,20
10,10,30
11,12,20
13,13,20
14,15,20
16,16,20
17,18,20
3,2,170
5,3,140
7,4,280
9,5,732
11,6,2425
13,7,8616
15,8,31680
17,9,119487
19,10,452432
21,11,1750627
23,12,7124112
25,13,28647509
27,14,101955770
29,15,387952741
31,16,1534463088
33,17,5986325698
35,18,23175461521
18,18,20
3,3,120
4,4,20
5,5,20
6,6,21
7,7,20
8,8,20
9,9,21
10,10,20
11,11,20
12,12,30
13,13,30
14,14,20
15,15,30
16,16,20
17,17,20
18,18,30
19,19,20
20,20,20
21,21,20
22,22,20
23,23,30
24,24,20
25,25,20
26,26,20
27,27,30
28,28,20
29,29,20
30,30,20
31,31,21
32,32,30
33,33,30
34,34,20
35,35,20
36,36,20
36,36,20
